key|S_Kr|S_En|S_Beon|S_Esp|S_Deu|S_Idn|S_Tha|S_Fr|S_Gan|S_Rus
11007|으음, 이보다 한 10배 정도 더 강하게...?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?|Hmm.. maybe about 10 times harder?
11008|꽤나 대담한걸.|Ouch..!|Ouch..!|Ouch..!|Ouch..!|Ouch..!|Ouch..!|Ouch..!|Ouch..!|Ouch..!
11009|저 두 사람에게 난이도를 조절하게 했다간 틀림없이 아비규환이 펼쳐질 거야. \n그치만 나름 재밌긴 하겠어♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪|If we let those two tamper with the difficulty switch, it would bring utter chaos in this tower, for real.\nBut, it also could be fun♪
11010|정말이지, 그러면 못 써!|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't|Really...!? You too!? Oh please don't
11011|자자, 잡담도 좋지만 집중하자구? \n무슨 일이 일어날 지 모르니 방심하면 안 돼.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.|Okay now, enough chit chat and let's focus on our mission, shall we?\nWe don't know whats ahead of us, we need to stay focused.
11012|이 층은 아직 괜찮겠지. \n이 이상 뭐가 더 나올...|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..|This stage is still okay.\nThere's nothing more out of the ordinary that could hap..
11013|그 순간, 어디선가 쿠구궁 하고 지면이 울리는 소리가 들렸다.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.|That sudden moment, the tower was filled with a loud thunder as something big hit collided with the floor.
11014|바, 방금 뭐였습니까?!|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?|Wh,,what was that?
11015|왠지 지금까지와는 다른 느낌이... \n큿! 레나, 옆을 조심해!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!|It feels like what we've been taking on is nothing compared to that one...\nWhoa! Lena, watch out on your side!
11016|카렌의 외침 덕분에 레나는 공격을 막아낼 수 있었다. \n하지만 그 힘은, 지금까지와의 적 유닛과 확연한 차이가 있었다.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.|Thanks to Karen, Lena was able to block the attack. \nHowever the strength, was nothing compared to any ordinary enemy units she encountered.
11017|꺄앗?! 이 유닛은 뭐야! \n호, 호호호혹시 벌써 난이도가 10배로 올라간 거야?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!|*Scream! What is this!\nWhat..d..dd..did the difficulty just got 10 times harder already?!
11018|그럴 리가 없잖아! \n이제 10층이니, 혹시 저 녀석이 보스일 지도...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!|No way!\nWe're in the 10th stage, so that could be an Enemy Boss...?!
11019|기깃, 기기깃... 제거, 제거합니다...|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#|#Target Acquired# #Elimination Protocol Initiated#
11020|정면을 가로 막아선 유닛은 움직일 기색이 없다. \n그야말로 문을 지키는 수문장이었다.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.|The unit that blocked the passage did not seem to let them go pass easily.\nAs they expected, the unit was a Gate Keeper.
11021|저 녀석을 물리치지 않으면 앞으로 나아갈 수 없겠군?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?|Looks like we can't get pass if we can't beat that thing?
11022|그런 것 같아요.|You're right.|You're right.|You're right.|You're right.|You're right.|You're right.|You're right.|You're right.|You're right.
11023|아주 좋아, 불타오르고 있어!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!|Good, now this turns me on!
11024|전원 전투 준비! 녀석을 격파하고 전진하자구!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!|Okay, everyone! Prepare for battle, let's beat the living doodoo out of him and go onwards!
11025|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued|To Be Continued
13001|큿... 꽤나 강하지 말입니다...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!|Damn it... he's stronger than we expected...!
13002|하지만 녀석의 파츠가 벌써 몇 군데 파손되었어요! \n이제 코어만 파괴할 수 있다면...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!|But we've managed to damage a few parts!\nIf only we could disable his Core...!
13003|신중하게 처신한다면 문제는 없을 거다! \n에밀리, 로즈, 이영 셋이서 연계 공격을...|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..|If we focus a little more, we can make it!\nEmily, Rose and E-young group up together and try to..
13004|저런 녀석 따위, 나 혼자로도 충분하다구!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!|Puff! I can take this thing all by myself with no problem!
13005|에밀리?! 잠깐만!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!|Emily?! Wait, Stop!
13006|에밀리, 앞으로 너무 나갔어요! \n돌아와요!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!|Emily! You're approaching it too closely!\nCome Back!
13007|상대가 한계에 다다르자, 에밀리는 마무리를 짓기 위해 앞으로 튀어 나간다.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.|As the target reaches its limit, Emily dashes out to make the final strike.
13008|현실 세계라면 몰라도, 여긴 가상 공간입니다! \n장비도 성능도 지금까지 만났던 유닛과는 다를 가능성이...!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!|If this was in the real world it could work, but this is nothing like it out there!\nThere's a chance that machine we're fighting against is nothing like what we've been seeing all the time..!
13009|이거나 먹으라구~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!|Eat this you little~~~!!
13010|에밀리가 쏜 포격이 적 유닛을 관통하자, 시야가 하얗게 물든다. \n결국에는 무사히 격파했다...라고 생각했으나.|Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. |Emily's cannon fire penetrates the enemy, a sudden flash fills the battleground.\nFortunately, the enemy was defeated...they thought. 
13011|흐흥, 저런 상태로 공격을 받으면 무사할 리가 없어! \n역시 나의 아틀라스는 최강...|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....|Huh, that thing stands no chance against my cannon fire!\nMy Atlas is the best ultimate unit ever that nothi....
13012|에밀리, 아직이야!!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!|Emily, It's not over yet!
13013|엣?|What..!?|What..!?|What..!?|What..!?|What..!?|What..!?|What..!?|What..!?|What..!?
13014|흰 연기 속에서 무언가가 돌진해왔으나 반응이 따라 주지 못 한다. \n다음 순간, 무언가가 아틀라스를 깊이 관통했다.|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas|A figure charged out for the white smoke, but Emily was unprepared for such a sudden attack.\nNext moment, something deeply stabbed and penetrated the Atlas
13015|에밀리!!|Emily!!|Emily!!|Emily!!|Emily!!|Emily!!|Emily!!|Emily!!|Emily!!|Emily!!
13016|헉, 헉... 어떻게... 된 거야...?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?|Huh...huh...what was it!?
13017|지금 콕핏을 열 테니까 움직이지 마세요!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!|I'm going to open your cockpit now, don't move!
13018|이런... 대체 무슨 일이...|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?|How could...such a thing happen?
13019|관통한 것은 보스의 무기였다. \n무기의 끝이 콕핏 부분을 꿰뚫어 대파시킨 것이다.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.|What penetrated Atlas was the Gate Keeper's weapon.\nThe blade sabotaged Atlas's cockpit.
13020|하아아!!|Hiya..!!|Hiya..!!|Hiya..!!|Hiya..!!|Hiya..!!|Hiya..!!|Hiya..!!|Hiya..!!|Hiya..!!
13021|기기깃... 기능, 정지, 합니다...|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#|#Outer Shell Critical Damage# #System Failure#
13022|기회를 놓치지 않고 츠바사가 적 유닛을 격파한다. \n그러자 유닛과 무기 모두 하나의 입자가 되어 사라졌다.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.|Tsubasa takes over and makes the final strike to disable the enemy.\nThe Gate Keeper's unit and its weapon becomes digital fragments and vaporizes in the air.
13023|봤지, 보스를 물리쳤어! \n물리쳤는데... 에밀리가 돌아 오지 않아!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!|Look, we've won! The Boss is now clear!\nWe've won..!...but...Emily...won't wake up!!
13024|무슨 일이 생길 지 모른다고 말은 했지만, 이건...|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..|They did tell us that anything could happen here, but ..
13025|죽으면 대체 어떻게 되는 거지...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?|What happens when we.. die...?
13026|아앗...! \n에밀리가 사라져 가잖아...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!|Oh!!...!\nEmily..! She's...dissappearing...?!
13027|아까 전의 적 유닛처럼 입자로 변하나?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!|Maybe we vaporize into thin air just like that Boss did?!
13028|이런 곳에서 죽다니 나도 참 바보같네... \n레나, 내가 없어도 너라면...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...|How foolish of me, silly me...to die in such stage...\nLena, I hope that you could...without me...
13029|싫어, 싫다구~~~! \n에밀리~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!|No, Nooo~!!\nEmily~~~!
13030|미안... 미안해...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...|I'm...I'm so sorry...
13031|아직 포기하지 말라구! 할 수 있어! \n구해 줄 테니까...|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!|Don't give up on me! You can do it!\nWe'll save you...!
13032|하지만 무정하게도, 에밀리는 흔적도 남기지 않은 채 입자가 되어 사라졌다.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.|Soon, Emily became digital fragments and vaporized in the air, leaving no trace.
